x;y
-1.3820562055034031;-0.7927488351797125
-1.3820562055034031;-0.7115800040108811
-1.3820562055034031;-0.6845237269546045
-1.3618949151808222;-0.6304111728420505
-1.3618949151808222;-0.6033548957857731
-1.3417336248582412;-0.5221860646169416
-1.3215723345356611;-0.49512978756066506
-1.3215723345356611;-0.44101723344811106
-1.3014110442130802;-0.4139609563918336
-1.2812497538904992;-0.3598484022792796
-1.2610884635679191;-0.33279212522300217
-1.2409271732453382;-0.3057358481667256
-1.2207658829227572;-0.2516232940541716
-1.2006045926001772;-0.22456701699789416
-1.1804433022775962;-0.17045446288534016
-1.1401207216324352;-0.14339818582906272
-1.0997981409872732;-0.06222935466023216
-1.0191529796969512;0.018939476508599284
-0.9788303990517901;0.10010830767743073
-0.9183465280840482;0.1812771388462613
-0.8981852377614672;0.2353896929588153
-0.8578626571163062;0.26244597001509273
-0.8578626571163062;0.2895022470713702
-0.7368949151808222;0.4518399094090322
-0.7167336248582412;0.5059524635215862
-0.7167336248582412;0.5330087405778636
-0.6764110442130802;0.5600650176341402
-0.6360884635679191;0.6412338488029716
-0.5957658829227572;0.6682901258592482
-0.5756045926001772;0.7224026799718022
-0.5352820119550152;0.7494589570280796
-0.5151207216324352;0.7494589570280796
-0.4949594313098542;0.7765152340843571
-0.47479814098727413;0.8306277881969111
-0.4344755603421122;0.8576840652531876
-0.41431427001953214;0.8847403423094651
-0.3941529796969512;0.9117966193657416
-0.3739916893743702;0.9388528964220191
-0.3336691087292092;0.9659091734782965
-0.29334652808404815;1.0200217275908505
-0.2127013667937252;1.0741342817034045
-0.17237878614856417;1.1282468358159585
-0.1522174958259832;1.1282468358159585
-0.13205620550340313;1.155303112872235
-0.11189491518082217;1.1823593899285125
-0.09173362485824121;1.20941566698479
-0.03124975389049922;1.2905844981536205
-0.03124975389049922;1.317640775209898
-0.011088463567919149;1.317640775209898
-0.011088463567919149;1.3446970522661745
0.009072826754661811;1.3988096063787294
0.009072826754661811;1.425865883435006
0.02923411707724277;1.5070347146038374
0.049395407399822844;1.5611472687163914
0.0695566977224038;1.642316099885222
0.0695566977224038;1.6693723769415003
0.0695566977224038;1.7234849310540534
0.08971798804498476;1.7775974851666083
0.08971798804498476;1.8046537622228849
0.08971798804498476;1.8317100392791614
0.08971798804498476;1.8858225933917163
0.10987927836756484;1.9399351475042694
0.10987927836756484;2.021103978673101
0.10987927836756484;2.048160255729379
0.10987927836756484;2.1022728098419323
0.10987927836756484;2.129329086898209
0.10987927836756484;2.2104979180670403
0.1300405686901458;2.264610472179595
0.1300405686901458;2.3187230262921483
0.1300405686901458;2.372835580404703
0.1300405686901458;2.3998918574609798
0.1300405686901458;2.4540044115735347
0.1300405686901458;2.5081169656860878
0.1300405686901458;2.535173242742366
0.1300405686901458;2.5622295197986427
0.1300405686901458;2.589285796854919
0.1300405686901458;2.643398350967474
0.1300405686901458;2.6704546280237507
0.10987927836756484;2.7245671821363056
0.08971798804498476;2.7786797362488587
0.0695566977224038;2.8057360133051352
0.049395407399822844;2.85984856741769
0.02923411707724277;2.8869048444739667
-0.011088463567919149;2.9410173985865216
-0.05141104421308018;2.9951299526990747
-0.07157233453566114;3.022186229755353
-0.09173362485824121;3.0492425068116296
-0.11189491518082217;3.076298783867906
-0.13205620550340313;3.1033550609241827
-0.1522174958259832;3.130411337980461
-0.17237878614856417;3.1574676150367376
-0.19254007647114424;3.184523892093014
-0.2127013667937252;3.184523892093014
-0.25302394743888623;3.238636446205569
-0.2731852377614672;3.2656927232618456
-0.29334652808404815;3.2656927232618456
-0.3336691087292092;3.292749000318122
-0.3739916893743702;3.3198052773744005
-0.45463685066469317;3.346861554430677
-0.5352820119550152;3.346861554430677
-0.5554433022775962;3.346861554430677
-0.6360884635679191;3.346861554430677
-0.6562497538904992;3.346861554430677
-0.6764110442130802;3.346861554430677
-0.7973787861485642;3.292749000318122
-0.8377013667937252;3.292749000318122
-0.8780239474388862;3.238636446205569
-0.8981852377614672;3.184523892093014
-0.9183465280840482;3.184523892093014
-0.9385078184066282;3.1574676150367376
-0.9586691087292092;3.130411337980461
-0.9788303990517901;3.076298783867906
-0.9989916893743702;3.022186229755353
-1.0191529796969512;2.968073675642798
-1.0191529796969512;2.9139611215302432
-1.0393142700195321;2.85984856741769
-1.0393142700195321;2.8057360133051352
-1.0393142700195321;2.751623459192582
-1.0393142700195321;2.697510905080027
-1.0393142700195321;2.643398350967474
-1.0191529796969512;2.6163420739111958
